belong1,belong2,fb1,fb2,fb3,closeness,mg1,mg2,swl,ms1r,ms2r,ms3r,mscp,fbcp,learningcp,belongcp,schoolr,sis_age,sis_female,sis_frpl,ethall,allgpa,allmgpa,allelagpa,allscigpa,allsocgpa,set1scorezero,cs,eiwd,perswd,percent_resilscorezero,mbcp,t1p1,q76_first_click,q76_last_click,q76_page_submit,q76_click_count,t1p2,q77_first_click,q77_last_click,q77_page_submit,q77_click_count,t1p3,q78_first_click,q78_last_click,q78_page_submit,q78_click_count,t1p4,q79_first_click,q79_last_click,q79_page_submit,q79_click_count,t1difchc,q64_first_click,q64_last_click,q64_page_submit,q64_click_count,t1pp1,t1pp1t1_first_click,t1pp1t1_last_click,t1pp1t1_page_submit,t1pp1t1_click_count,t1pp1w,t1pp1r,t1pp1t2_first_click,t1pp1t2_last_click,t1pp1t2_page_submit,t1pp1t2_click_count,t1pp2,t1pp2t1_first_click,t1pp2t1_last_click,t1pp2t1_page_submit,t1pp2t1_click_count,t1pp2w,t1pp2r,t1pp2t2_first_click,t1pp2t2_last_click,t1pp2t2_page_submit,t1pp2t2_click_count,t1pp3,t1pp2t1_first_click_1,t1pp2t1_last_click_1,t1pp2t1_page_submit_1,t1pp2t1_click_count_1,t1pp3w,t1pp3r,t1pp3t2_first_click,t1pp3t2_last_click,t1pp3t2_page_submit,t1pp3t2_click_count,t1tp1,q124_first_click,q124_last_click,t1tp1time,q124_click_count,t1tp1choice,t1tp2,q130_first_click,q130_last_click,t1tp2time,q130_click_count,t1tp2choice,t1tp3,q136_first_click,q136_last_click,t1tp3time,q136_click_count,t1tp3choice,t1tp4,q142_first_click,q142_last_click,t1tp4time,q142_click_count,t1tp4choice,t1tp5,q148_first_click,q148_last_click,t1tp5time,q148_click_count,t1tp5choice,t1tp6,q156_first_click,q156_last_click,t1tp6time,q156_click_count,t1tp6choice,t1tp7,q162_first_click,q162_last_click,t1tp7time,q162_click_count,t1tp7choice,t1tp8,q165_first_click,q165_last_click,t1tp8time
5,2,3,2,2,2,3,4,4,4,4,3,3.66666666666667,4.5,3.5,3.5,4,15,1,0,1,90.1782142875,80.5975,92.4625,93.41,78.145,4,1,.565680304345593,.319829538024145,0,1.88550984236974,1,9.131,9.131,15.953,1,3,66.692,66.692,68.965,1,6,7.358,7.358,10.087,1,6,8.078,8.078,9.861,1,1,0,0,5.067,0,4,20.043,20.043,21.904,1, ,0, , , , ,5,66.902,66.902,69.734,1, ,1,0,0,15.012,0,1,98.972,98.972,101.057,1, ,0, , , , ,8,14.313,21.165,23.494,3,1, ,69.603,114.792,114.796,3,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,1,5,3,4,3,4,4,3,3,3,2,2.66666666666667,3,4,1,1,17,0,0,13,81.12107143,78.3675,79.9025,81.65875,75.8275,4,1,.445800037974634,.112865825592903,0,1.55866586356754,1,9.566,11.406,13.918,3,3,14.201,16.477,16.517,4,6,2.412,3.68,4.612,3,6,5.92,6.568,7.392,3,1,0,0,.532,0,4,13.44,16.8,17.676,3, ,0, , , , ,3,41.925,81.382,81.418,8,1, ,.788,7.872,8.552,5,2,26.332,29.664,30.264,3,0, , , , , ,8,.676,10.892,11.636,7,1,9,12.132,13.54,14.296,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,1,3,4,3,6,4,4,2,3,3,2,2.66666666666667,3.5,4,1,2,15,0,1,1,70.5414285725,59.6875,70.15125,65.935, ,4,1,.360621572981525,.271754937891948,1,2.63237651087347,1,24.85,26.367,26.987,3,3,17.676,18.618,19.172,3,6,6.585,7.873,8.475,3,6,43.637,44.12,44.951,3,1,0,0,1.745,0,1,12.756,14.1,14.931,3,0, , , , , ,2,40.43,41.404,43.531,2,1, ,3.02,7.267,7.947,3,1,29.172,30.029,30.563,3, ,0, , , , ,8,4.188,34.705,35.346,9,1,5,19.682,23.145,23.178,6,1,1,1.689,16.824,17.285,7,1,8,7.343,22.079,28.481,5,1,7,8.071,13.241,13.935,6,1,5,28.019,29.267,29.782,5,1,8,2.915,8.506,9.07,9,1,3,4.789,5.212,6.42
1,3,2,1,5,6,3,2,1,4,4,4,4,5.5,2.5,2,7,15,0,0,1,79.4196875,53.97,69.6125,76.385,77.555,4,1,.714385341158249,.498538742427353,1,3.2129240835856,1,5.277,8.581,9.594,2,3,13.799,19.094,19.106,3,6,4.485,5.719,6.608,2,6,5.659,7.644,7.658,3,1,0,0,10.606,0,4,69.866,73.665,74.199,4, ,0, , , , ,1,125.978,166.492,166.844,11,1, ,3.071,47.734,48.587,21,1,13.19,23.795,24.447,4, ,0, , , , ,8,3.143,14.187,14.199,11,1,6,3.596,146.727,147.42,13,1,4,6.3,76.071,76.441,14,1,8,10.433,17.022,17.036,9,1,8,36.484,37.709,38.028,5,1,5,1.411,3.319,3.927,5,1,8,1.305,8.783,9.256,7,1,3,3.995,6.308,6.922
5,5,2,2,2,7,4,4,5,5,5,5,5,5,4,5,2,16,0,1,4,87.15607143,80.0375,87.69875,88.0775, ,4,1,.36528215788202,.12961550143949,0,1.49489765932151,1,15.7,18.896,24.24,3,3,7.187,8.411,9.264,3,6,4.515,5.586,6.465,3,6,7.2,8.098,8.94,3,1,0,0,64.88,0,4,14.158,15.634,16.537,3, ,0, , , , ,8,35.536,36.489,37.558,3,1, ,1.335,1.335,4.365,1,8,36.746,39.754,40.566,4,0, , , , , ,8,1.157,17.405,18.148,9,1,7,15.154,18.053,18.854,7,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,4,3,3,4,5,4,4,5,3,3,3,3,4,4,4,3,16,1,1,4,84.65125,74.865,92.93875,77.7625,90.26625,3,1,.316103619229216,.228528860243859,1,2.54463247947308,1,4.87,10.932,11.908,4,3,3.74,5.815,7.975,3,6,2.52,3.694,4.247,3,3,8.625,9.841,10.536,3,1,0,0,2.079,0,1,7.445,9.768,10.276,3,1, ,3.881,7.403,7.96,3,2,32.117,33.262,33.756,3,0, , , , , ,2,23.92,25.881,26.445,3,0, , , , , ,8,3.414,13.497,13.544,8,1,3,17.388,22.506,22.562,7,1,2,5.102,16.516,16.987,8,1,8,.612,9.95,10.514,6,1,4,.58,8.015,8.547,7,1,5,.53,3.995,4.45,6,1,8,4.715,8.107,9.619,6,1,3,2.3,3.899,4.553
5,5,2,4,5,7,4,4,2,2,1,1,1.33333333333333,4,4,5,2,17,1,1,4,71.5379166666667,78.5266666666667,65.9033333333334,84.4666666666667,70.9266666666667,2,0,.269824879094564,.227583311142984,1,1.49740819023755,1,6.045,10.291,10.683,7,5,19.321,24.698,27.69,7,1,3.658,5,5.48,3,6,4.121,15.218,15.746,7,0,0,0,3.673,0,4,14.48,19.436,19.975,5, ,1,19.266,20.141,20.994,2,1,9.15,10.032,10.589,3,0, , , , , ,3,8.394,9.255,9.693,3,0, , , , , ,8,.984,12.913,13.641,10,1,2,22.557,25.506,26.161,5,1,4,.76,9.882,10.487,7,1,8,7.273,9.698,10.362,6,1,3,4.078,9.046,11.116,10,1,5,2.565,5.48,6.156,7,1,8,.857,6.883,7.446,6,1,3,6.65,7.455,10.134
4,3,2,2,5,4,3,4,4,6,5,6,5.66666666666667,5,3.5,3.5,1,15,0,1,1,81.1103571425,85.49,76.7225,82.935, ,1,1,.442925066312033,.149959525243999,1,2.59288459155603,5,3.676,39.308,41.411,7,5,14.418,14.418,17.266,1,6,18.302,18.302,25.901,1,1,18.146,18.146,19.961,1,1,0,0,13.123,0,1,1.735,45.415,46.639,5,1, ,0,0,12.356,0,7,13.731,13.731,14.609,1,0, , , , , ,3,56.816,60.864,62.807,2,0, , , , , ,8,7.743,15.839,18.366,2,1,4,4.412,5.668,6.906,2,1,7,3.5,6.324,7.468,3,1,3,.592,1.624,2.574,2,1,3,6.378,7.466,8.289,2,1,5,3.9,6.563,6.882,3,1,8,5.592,11.512,13.534,2,1,3,10.338,10.338,12.345
5,5,3,2,4,5,5,5,2,6,6,6,6,4.5,5,5,1,16,0,1,4,75.2803571425,69.7275,78.9075,72.3175,84.59,4,1,.699760392961397,.587980144629858,1,3.28774053759125,1,9.637,23.7,25.287,3,3,9.423,10.676,11.354,3,6,3.331,5.29,5.926,3,6,3.514,7.917,7.946,5,1,0,0,18.99,0,4,13.585,31.776,32.467,3, ,0, , , , ,3,130.521,177.549,180.422,2,1, ,0,0,40.251,0,1,10.759,44.725,49.504,2, ,0, , , , ,8,20.521,33.67,35.957,6,1,3,25.451,38.966,41,2,1,4,40.756,52.995,56.245,3,1,8,8.646,56.148,59.61,2,1,7,82.239,229.362,231.13,5,1,5,2.369,21.092,21.642,4,1,8,8.587,10.561,12.364,2,1,3,3.605,3.605,19.085
4,4,2,2,4,5,4,4,5,3,3,3,3,5,4,4,1,18,0,0,1,84.2914285725,80.8675,88.6625,90.6575, ,4,1,.318011344126329,.345317788622639,1,2.66332913274897,1,6.136,6.136,8.728,1,3,4.938,4.938,7.094,1,6,2.415,2.415,3.861,1,6,6.508,7.849,8.301,2,1,0,0,7.313,0,1,18.879,21.99,22.464,2,1, ,0,0,18.137,0,5,24.536,24.536,27.788,1, ,0, , , , ,1,9.067,9.067,10.802,1, ,0, , , , ,8,9.36,11.853,13.026,2,1,5,52.319,55.089,55.785,2,1,4,22.315,25.152,26.637,2,1,8,5.547,7.225,8.123,2,1,4,32.401,42.78,43.277,3,1,5,3.807,7.26,7.92,2,1,8,4.058,5.927,6.845,2,1,3,2.95,2.95,4.556
