belong1,belong2,fb1,fb2,fb3,closeness,mg1,mg2,swl,ms1r,ms2r,ms3r,mscp,fbcp,learningcp,belongcp,schoolr,sis_age,sis_female,sis_frpl,ethall,allgpa,allmgpa,allelagpa,allscigpa,allsocgpa,set1scorezero,cs,eiwd,perswd,percent_resilscorezero,mbcp,t1p1,q76_first_click,q76_last_click,q76_page_submit,q76_click_count,t1p2,q77_first_click,q77_last_click,q77_page_submit,q77_click_count,t1p3,q78_first_click,q78_last_click,q78_page_submit,q78_click_count,t1p4,q79_first_click,q79_last_click,q79_page_submit,q79_click_count,t1difchc,q64_first_click,q64_last_click,q64_page_submit,q64_click_count,t1pp1,t1pp1t1_first_click,t1pp1t1_last_click,t1pp1t1_page_submit,t1pp1t1_click_count,t1pp1w,t1pp1r,t1pp1t2_first_click,t1pp1t2_last_click,t1pp1t2_page_submit,t1pp1t2_click_count,t1pp2,t1pp2t1_first_click,t1pp2t1_last_click,t1pp2t1_page_submit,t1pp2t1_click_count,t1pp2w,t1pp2r,t1pp2t2_first_click,t1pp2t2_last_click,t1pp2t2_page_submit,t1pp2t2_click_count,t1pp3,t1pp2t1_first_click_1,t1pp2t1_last_click_1,t1pp2t1_page_submit_1,t1pp2t1_click_count_1,t1pp3w,t1pp3r,t1pp3t2_first_click,t1pp3t2_last_click,t1pp3t2_page_submit,t1pp3t2_click_count,t1tp1,q124_first_click,q124_last_click,t1tp1time,q124_click_count,t1tp1choice,t1tp2,q130_first_click,q130_last_click,t1tp2time,q130_click_count,t1tp2choice,t1tp3,q136_first_click,q136_last_click,t1tp3time,q136_click_count,t1tp3choice,t1tp4,q142_first_click,q142_last_click,t1tp4time,q142_click_count,t1tp4choice,t1tp5,q148_first_click,q148_last_click,t1tp5time,q148_click_count,t1tp5choice,t1tp6,q156_first_click,q156_last_click,t1tp6time,q156_click_count,t1tp6choice,t1tp7,q162_first_click,q162_last_click,t1tp7time,q162_click_count,t1tp7choice,t1tp8,q165_first_click,q165_last_click,t1tp8time
4,4,3,3,5, ,4,4,5,3,3,3,3,4,4,4,1,14,1,0,4,98.2679166675,99.385,97.595,97.9825,98.9425,4,1,.148522445461434,0,0,1.14852244546143,1,6.513,8.149,8.186,4,3,8.086,8.976,9.361,3,6,3.561,4.476,4.89,3,6,3.562,4.24,4.631,3,1,0,0,1.27,0,4,12.421,13.185,13.524,3, ,0, , , , , ,5.467,6.739,6.752,3,0, , , , , , ,4.779,5.991,6.001,3,0, , , , , ,8,.563,15.107,15.14,12,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,4,3,3,5,7,5,4,5,6,6,5,5.66666666666667,4,4.5,4,1,16,1,0,1,88.3707142875,84.19,88.0125,87.43,83.6775,3,1,.330563525481974,.221849493112152,0,1.55241301859413,1,7.046,9.938,9.96,3,6,8.187,9.397,9.42,4,6,3.207,3.905,4.307,3,6,9.669,19.093,19.94,3,1,0,0,4.787,0,4,20.276,27.383,28.029,6, ,0, , , , ,2,30.893,35.535,36.053,6,0, , , , , ,1,18.545,20.141,20.16,4, ,0, , , , ,8,1.731,10.678,13.984,6,1,6,10.295,12.74,13.407,5,1,4,6.217,9.352,9.905,8,1,8,6.646,10.901,11.517,7,1,1,5.593,19.45,20.405,15,0, , , , , , , , , , , , , , , , 
3,3,4,3,3,4,3,3,4,3,4,4,3.66666666666667,3.5,3,3,1,15,0,1,4,68.5467857125,53.9775,61.49375,73.75, ,4,0,.229024807842372,.232017313708585,1,1.46104212155096,1,7.501,8.936,9.644,3,3,20.438,24.331,24.374,4,6,2.305,5.455,6.195,5,6,4.425,5.285,5.771,3,0,0,0,.678,0,1,13.845,16.159,16.796,3,0, , , , , ,4,12.73,13.652,14.079,3,0, , , , , ,4,15.526,16.442,16.985,3,0, , , , , ,8,5.383,11.867,12.424,8,1,8,18.021,21.39,21.889,7,1,4,1.274,8.708,9.256,7,1,8,10.624,12.882,13.586,7,1,3,13.106,15.102,15.682,6,1,5,2.019,3.455,4.04,6,1,8,3.997,7.251,7.636,6,1,3,4.002,4.797,5.674
2,1,4,4,2,5,4,3,2,1,1,1,1,3,3.5,1.5,7,16,1,1,4,79.3153571425,79.5375,79.475,73.245,82.7375,3,1,.517830626895599,.407475260863329,1,2.92530588775893,1,16.32,16.32,19.547,1,5,51.506,51.506,53.733,1,6,16.019,16.019,21.781,1,6,10.159,10.159,11.901,1,1,0,0,13.277,0,4,49.048,49.048,51.595,1, ,0, , , , ,2,77.831,77.831,79.785,1,0, , , , , ,1,44.858,44.858,46.76,1, ,0, , , , ,8,12.102,16.051,18.342,2,1,5,44.711,49.577,54.321,4,1,4,43.637,45.337,49.123,2,1,8,20.227,21.743,23.521,2,1,9,55.817,57.383,59.369,2,1,5,3.959,7.603,9.388,2,1,8,6.409,8.311,9.798,2,1,3,5.959,5.959,8.493
5,3,2,2,4,7,4,4,4,5,5,1,3.66666666666667,5,4,4,1,16,0,1,2,78.86785714,72.54,82.1425,82.2375,69.9,2,1,.376277203987774,.217890001085309,0,1.59416720507308,1,7.674,9.978,10.863,3,2,21.948,25.027,25.051,4,6,2.768,9.504,9.526,6,4,6.5,8.855,8.88,4,1,0,0,.646,0,4,19.951,22.885,23.582,5, ,0, , , , ,8,46.714,47.608,48.043,3, , , , , , ,5,28.187,31.602,32.332,5, , , , , , ,8,8.325,24.904,27.046,21,1,7,1.306,51.548,53.28,14,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,4,3,3,4,1,2,4,3,6,3,5,4.66666666666667,4,3,3.5,2,17,0,1,1,89.1839285725,92.565,83.5625,98.98,66.705,4,1,.34871661462969,.346066590552893,1,2.69478320518258,1,8.181,11.791,11.843,4,3,4.32,14.356,14.401,4,6,3.244,7.508,7.567,4,6,4.313,5.644,6.439,3,1,0,0,3.215,0,4,8.404,27.602,28.3,4, ,0, , , , ,5,32.03,40.484,41.048,4, ,0, , , , ,1,12.287,19.735,22.475,3, ,0, , , , ,8,1.59,15.687,16.702,8,1,2,1.737,34.242,35.595,7,1,4,1.288,41.493,42.016,8,1,8,5.086,17.172,18.195,7,1,4,14.938,37.88,38.597,9,1,5,2.3,5.7,8.891,6,1,8,5.376,10.211,10.83,6,1,3,3.645,13.475,14.05
4,4,4,4,1,4,4,3,3,3,5,4,4,3,3.5,4,1,18,0,1,4,57.90142857,74.51,59.8816666666667,50,50,3,0,.0690981346158748,0,0,.0690981346158748,1,10.272,11.117,12.324,3,3,.762,22.242,22.844,14,6,3.653,7.698,8.315,7,3,6.025,7.45,7.473,4,0,0,0,.924,0,8,3.463,4.561,4.586,4,0, , , , , ,5,1.396,1.984,2.443,3, ,0, , , , ,5,1.743,3.601,4.248,5,0, , , , , ,8,.908,12.972,13.959,16,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,4,5,4,5,7,4,4,2,5,5,5,5,2.5,4,4,2,17,1,1,4,77.486026785, ,90.1875,80.4975, ,3,0,.26294114060449,.189459373185309,1,1.4524005137898,1,12.487,23.172,25.539,6,3,18.002,18.602,19.538,3,6,6.697,11.153,11.87,8,3,14.363,15.956,16.015,4,0,0,0,.865,0,4,14.663,29.482,30.258,11, ,0, , , , ,3,13.553,17.645,18.356,5,0, , , , , ,4,8.922,9.494,10.262,3,0, , , , , ,8,3.111,19.049,19.974,9,1,8,8.823,16.036,16.749,7,1,3,2.772,6.99,7.625,6,1,7,2.129,11.178,11.834,10,1,7,1.626,3.46,4.075,7,1,5,1.639,3.494,4.254,5,1,8,5.322,6.976,7.712,5,1,3,5.37,6.842,6.908
3,1,3,2,4,5,2,1,5,3,3,3,3,4.5,1.5,2,1,18,0,0,4,66.7765555566667,70.68,79.755,57.3266666666667,50,4,0,.412790827197336,0,0,.412790827197336,1,9.437,15.337,17.868,2,3,3.476,7.036,8.113,2,6,4.819,6.995,8.16,2,6,7.61,9.224,12.791,2,0,0,0,.801,0,4,30.359,33.004,35.099,2, ,0, , , , ,2,60.816,63.052,64.539,2,0, , , , , ,2,17.714,20.662,21.554,2,0, , , , , ,8,3.414,25.042,25.977,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,5,5,5,5,7,5,5,5,6,6,6,6,2,5,5,1,16,0,1,4,78.9671875,77.2975,76.44125,76.7625,78.0225,4,0,.262020721646956,0,0,.262020721646956,1,4.271,5.248,5.737,3,3,5.628,6.529,6.991,3,6,2.766,3.285,3.787,3,6,2.988,3.697,4.237,3,0,.621,.621,.643,1,4,1.336,9.449,10.188,6, ,0, , , , ,3,33.014,33.649,34.432,3,0, , , , , ,4,9.495,13.491,13.942,7,0, , , , , ,8,.739,8.269,8.732,8,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,3,3,3,2,1,3,3,2,4,4,4,4,4,3,2.5,2,15,1,1,1,86.01,86.0425,85.3225,89.08625,88.8775,3,0,.338319373426783,0,0,.338319373426783,1,2.145,21.282,30.535,4,1,24.045,29.331,30.824,5,6,9.902,11.039,11.742,3,6,20.267,22.513,23.072,3,0,0,0,3.009,0,4,19.74,21.136,21.617,3, ,0, , , , ,8,30.483,31.802,32.297,3,0, , , , , ,6,31.904,33.027,33.527,3,0, , , , , ,2,1.925,24.471,25.669,7,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,5,5,5,4,6,3,3,4,3,4,5,4,2,3,4.5,3,16,0,1,4,66.9703571425,67.1825,61.24,55.0625,56.205,4,0,.215194041372831,.389553954362323,1,1.60474799573515,1,7.58,9.609,10.38,3,3,3.021,5.421,6.166,3,6,2.169,3.315,3.879,3,6,2.922,4.144,4.768,3,0,0,0,1.045,0,4,2.029,12.744,13.237,6, ,0, , , , ,5,22.131,23.065,23.685,3, ,0, , , , ,1,4.939,6.257,6.773,3, ,0, , , , ,8,3.873,19.307,20.038,7,1,9,17.341,29.743,30.591,9,1,4,2.142,26.013,26.617,9,1,8,27.196,54.447,55.289,12,1,6,51.243,56.879,57.807,5,1,5,1.351,11.81,12.43,8,1,8,8.011,12.111,12.743,5,1,3,5.264,7.444,7.463
3,2,3,3,3,5,3,4,4,3,2,2,2.33333333333333,4,3.5,2.5,4,17,1,0,4,77.40455357,70.5075,87.5425,64.77, ,4,1,.283053720799905,.218392433632541,0,1.50144615443245,1,7.012,7.012,8.92,1,3,11.268,13.32,13.801,2,6,4.489,4.489,6.613,1,6,3.767,5.247,6.742,2,1,0,0,.739,0,8,33.561,33.561,34.808,1,0, , , , , ,1,15.378,15.378,17.3,1,0, , , , , ,5,11.007,13.393,13.839,2,0, , , , , ,8,4.995,11.724,12.978,4,1,5,25.252,29.146,29.566,3,1,8,7.875,11.268,12.176,5,1,3,8.188,10.851,11.784,3,0, , , , , , , , , , , , , , , , , , , , , , 
3,3,3,3,3,5,3,3,1,4,4,4,4,4,3,3,1,16,0,1,4,78.7435714275,69.1675,80.345,81.065,73.8925,4,1,.440876726673216,.333944342355864,1,2.77482106902908,1,8.672,11.867,12.761,4,3,5.607,8.349,8.377,4,6,3.473,4.452,5.125,3,6,6.973,11.44,12.271,3,1,1.073,1.073,1.094,1,4,23.092,25.472,26.176,3, ,0, , , , ,2,88.469,90.34,90.365,4,0, , , , , ,1,16.678,18.78,18.807,4, ,0, , , , ,8,1.811,10.491,11.413,7,1,3,42.487,45.038,46.085,6,1,8,17.96,24.377,24.403,10,1,8,10.786,16.388,17.105,6,1,7,26.948,36.661,37.559,8,1,5,3.635,5.803,6.454,6,1,8,5.7,8.057,8.628,6,1,3,5.052,6.046,6.943
5,5,4,1,5,7,3,1,1,5,5,3,4.33333333333333,4.5,2,5,2,17,0,1,1,85.758125,77.5525, ,86.1075,79.3125,4,0,.231266768995568,.18234139667384,1,1.41360816566941,1,7.592,7.592,10.631,1,3,12.895,12.895,14.218,1,6,2.271,2.271,4.253,1,6,144.701,146.02,146.76,2,0,.845,.845,1.415,1,1,28.212,28.212,29.733,1,0, , , , , ,6,7.589,7.589,9.205,1,0, , , , , ,8,8.178,8.178,9.615,1,0, , , , , ,8,4.323,10.657,12.445,3,1,9,12.433,13.692,14.638,2,1, ,2.475,7.427,7.44,2,1,9,8.331,9.703,11.296,2,1,9,1.416,3.011,3.939,2,1,5,.775,3.774,4.72,3,1,8,1.513,5.54,14.143,3,1,3,23.575,27.806,30.192
4,4,1,4,5,4,5,5,4,4,4,4,4,4.5,5,4,7,16,0,0,4,86.82357143,91.73,83.3175,69.9575,78.29,4,1,.452460101272501,.250162789503054,.666666666666667,2.36928955744222,1,8.43,10.147,11.531,2,3,37.795,37.795,40.12,1,6,10.733,10.733,13.088,1,6,13.26,15.497,22.465,4,1,2.59,2.593,13.173,2,4,30.958,39,39.593,4, ,0, , , , ,7,52.687,55.63,56.424,5,0, , , , , ,5,41.681,44.712,45.397,7,0, , , , , ,8,2.976,19.88,19.892,14,1,6,11.756,33.098,33.111,10,1,4,1.009,12.556,12.569,10,1,8,6.598,11.088,11.657,6,1,7,8.577,12.883,12.895,7,1,5,3.516,6.305,6.822,5,1,8,4.485,9.157,9.634,8,1,4,15.928,50.437,51.091
3,3,2,2,5,6,5,4,5,1,1,1,1,5,4.5,3,7,18,1,0,4,83.07,76.4175,74.455,77.175,80.0525,4,1,.336803327997168,.0915011804736344,0,1.4283045084708,1,3.057,4.729,5.185,5,3,3.062,4.324,4.338,4,6,1.679,2.581,2.598,4,6,3.319,5.643,6.128,5,1,0,0,.505,0,4,18.799,25.346,25.884,7, ,0, , , , ,3,51.898,52.397,53.021,3,0, , , , , ,5,6.629,7.368,7.906,3,0, , , , , ,8,.685,14.782,15.881,9,1,3,1.45,8.563,9.396,10,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,2,3,3,3,6,3,3,4,4,4,4,4,4,3,2.5,1,15,1,1,4,75.71095238,59.7,80.1716666666667,76.3333333333333, ,3,0,.201863326462976,.218681930185008,.666666666666667,1.08721192331465,1,1.193,21.531,22.374,5,3,11.658,12.724,13.128,3,6,3.6,4.535,5.364,3,4,7.171,7.911,8.719,3,0,0,0,1.631,0,1,8.324,9.394,9.806,3,0, , , , , ,5,6.683,8.035,8.055,4, , , , , , ,6,20.535,21.409,21.999,3,0, , , , , ,2,2.483,14.275,14.3,8,1,4,6.113,8.584,9.528,5,1,3,14.452,18.677,18.68,6, ,3,11.817,14.506,14.526,6,1,5,8.422,10.245,10.934,7,1,5,1.555,4.737,5.323,6,1,4,4.855,8.342,8.362,8,1,3,2.706,3.053,3.982
3,3,2,4,4,2,3,3,3, , , , ,4,3,3,2,18,0,1,4,91.1490625,87.965,91.33125,91.6825,92.89,4,1,.400545996123585,.329773071154171,1,2.73031906727776,1,7.593,11.487,12.379,3,3,14.089,15.995,16.757,2,6,6.567,7.789,8.485,2,6,6.79,8.894,8.936,3,1,0,0,2.2,0,4,15.242,19.487,20.394,2, ,0, , , , ,3,54.69,56.127,56.7,2,0, , , , , ,1,34.713,36.902,38.171,2, ,0, , , , ,8,2.5,23.114,26.229,8,1,2,24.292,31.781,32.769,4,1,4,11.263,20.595,21.935,4,1,8,8.262,10.094,11.333,3,1,1,48.074,54.29,56.008,4,1,5,3.42,40.219,42.089,13,1,8,7.39,9.746,11.604,4,1,3,8.201,23.751,25.634
2,1,5,4,3,5,1,1,3,3,3,3,3,2.5,1,1.5,1,16,1,1,4,59.113125,56.305,60.66375,58.555,54.6,4,0,.374551192151089,.173409457154727,1,1.54796064930582,1,7.563,9.078,9.533,3,3,23.541,35.34,35.638,8,6,4.905,5.688,6.409,3,6,13.191,14.124,14.78,3,0,0,0,1.701,0,4,19.624,20.335,21.063,3, ,0, , , , ,7,24.613,70.59,71.554,6,0, , , , , ,7,9.142,10.161,10.558,3,0, , , , , ,8,4.618,20.078,20.656,7,1,2,15.671,19.211,19.728,7,1,6,3.609,5.887,7.07,6,1,3,.797,3.762,3.79,6,1,7,.434,2.41,3.159,5,1,5,.445,4.762,5.467,7,1,8,4.54,8.155,8.182,7,1,3,9.692,10.443,10.969
5,5,5,5,4,7,5,5,5,1,1,1,1,2,5,5,6,19,0,1,2,89.643125,91.47875,84.675,91.54,91.64,2,0,.101459124396237,.213615410899282,0,.315074535295519,1,16.031,16.031,17.997,1,5,35.185,35.185,37.187,1,6,6.508,6.508,14.253,1,5,7.258,7.258,8.827,1,0,0,0,1.349,0,1,3.101,3.101,4.818,1,0, , , , , ,3,7.144,7.144,9.141,1,0, , , , , ,7,.868,.868,2.675,1,0, , , , , ,8,2.441,5.58,7.343,2,1,9,1.843,6.013,7.586,3,1,9,1.312,10.729,12.249,5,1,8,1.184,25.211,26.322,5,1,3,1.233,3.526,5.053,2,1,6,1.219,1.995,3.299,2,1,6,2.113,4.232,5.83,3,1,6,.698,.698,3.167
 , ,3,2,3,4,3,3, , , , , ,4.5,3, ,3,16,1,1,4,83.905,83.53,80.35,79.2475,86.0675,3,0,.231505222190654,0,0,.231505222190654,1,1.951,4.677,5.561,7,2,2.597,3.885,4.253,3,6,3.308,5.211,5.715,5,6,1.162,2.602,2.624,4,0,0,0,.828,0,4,4.707,7.178,7.572,3, ,0, , , , ,8,9.519,10.098,10.449,3,0, , , , , ,1,25.912,30.046,30.606,5, ,0, , , , ,9,2.408,18.661,25.002,24,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,5,3,2,4,7,4,3,5,3,6,4,4.33333333333333,4.5,3.5,5,1,17,0,0,1,72.7264285725,81.27,61.25,59.165,59.855,4,1,.154047401622662,.100131346131256,1,2.25417874775392,1,7.007,7.007,11.979,1,3,6.187,8.996,10.554,2,6,3.645,3.645,5.716,1,6,6.488,6.488,8.016,1,1,.729,.729,2.086,1,2,21.671,21.671,23.263,1,0, , , , , ,8,.665,.665,2.13,1,0, , , , , ,8,.107,.896,2.16,2,0, , , , , ,5,.482,4.199,4.205,2, ,7,.369,1.917,3.024,2,1,3,.61,2.024,3.138,2,1,7,.192,1.526,2.501,2,1,7,.325,1.418,2.589,2,1,5,.264,3.084,3.923,3,1,8,1.714,5.537,6.399,4,1,3,5.453,5.453,7.048
3,3,1,1,5,5,3,3,4,6,6,6,6,6,3,3,1,17,0,1,1,78.1107142875,69.43,79.955,74.7225,72.75,4,0,.309704029887419,.273418822556902,1,1.58312285244432,1,14.475,16.993,17.016,5,3,12.92,14.231,14.748,3,6,4.735,5.671,6.103,3,6,12.38,13.222,13.648,3,0,0,0,4.229,0,4,21.52,24.339,25.455,3, ,0, , , , ,3,21.704,22.681,23.361,3,0, , , , , ,8,25.725,26.571,27.118,3,0, , , , , ,8,8.163,19.952,20.649,8,1,5,17.39,33.896,34.325,9,1,7,.848,23.337,23.749,12,1,8,2.557,13.51,13.96,9,1,5,.534,11.321,11.863,10,1,5,1.476,4.471,4.925,9,1,8,4.978,6.924,7.326,6,1,3,3.087,8.249,8.948
3,3,3,3,3,7,3,3,4,4,4,4,4,4,3,3,2,19,1,1,1,83.264375,76.53875,73.385,62.75,88.78,3,0,.374694907309274,0,0,.374694907309274,1,8.047,13.004,13.583,6,3,9.352,10.186,10.997,3,6,.812,3.992,4.689,3,4,7.065,12.351,12.991,4,0,0,0,3.62,0,1,.831,73.628,74.382,12,0, , , , , ,2,12.252,13.056,13.522,3,0, , , , , ,3,12.881,15.311,15.336,5,0, , , , , ,8,1.25,43.921,43.957,12,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,3,3,3,2,4,3,3,1,4,4,4,4,4,3,3,2,18,1,1,4,85.2027678575,83.735,86.3375, ,88.5425,4,1,.31985473687736,.140066495998877,0,1.45992123287624,1,7.482,10.431,10.458,4,3,7.093,21.427,22.222,4,6,4.884,7.285,7.31,4,6,3.725,4.282,4.896,3,1,1.523,1.523,1.546,1,4,18.922,21.562,22.164,3, ,0, , , , ,3,21.755,38.135,38.766,4,0, , , , , ,1,17.518,18.363,18.993,3, ,0, , , , ,8,7.373,16.906,18.143,10,1,9,1.677,13.129,13.157,9,1,9,3.089,4.481,4.855,6,1,9,.562,1.725,2.148,5,1,9,.311,1.83,1.857,7,1,7,.551,2.385,2.728,8,1,9,.211,2.139,2.173,7,1,7,.4,1.741,2.111
4,4,2,2,5,7,3,2,4,5,5,5,5,5,2.5,4,7,17,1,1,1,82.171875,79.6075,86.6725,60.545,77.76,4,1,.165951163739888,.231153509066687,.666666666666667,2.06377133947324,1,7.774,13.186,15.221,5,3,14.853,14.853,17.655,1,6,7.492,7.492,9.797,1,6,7.054,9.919,10.383,2,1,0,0,1.72,0,1,12.922,16.201,21.381,3,0, , , , , ,1,2.402,2.402,4.706,1,0, , , , , ,3,3.015,3.856,4.318,3,0, , , , , ,8,3.711,14.185,14.76,9,1,7,10.33,15.156,15.84,8,1,4,4.17,22.005,22.647,9,1,7,10.768,13.38,13.945,9,1,9,.751,7.52,7.532,10,1,5,.667,5.102,5.725,10,1,8,4.808,8.622,9.436,9,1,7,28.763,29.152,29.766
4,4,3,1,5,4,4,4,5,5,5,5,5,5,4,4,7,17,0,0,1,84.91642857,83.8075,78.2775,75.2075,82.8225,4,1,.373291194060622,0,0,1.37329119406062,1,3.701,16.114,20.739,6,3,4.274,4.274,6.149,1,6,5.548,5.554,11.664,2,6,4.066,5.31,7.244,2,1,0,0,3.564,0,4,7.885,7.885,11.863,1, ,0, , , , ,5,27.184,27.184,28.944,1, ,0, , , , ,1,60.098,60.098,61.799,1, ,0, , , , ,8,9.801,15.223,17.732,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,3,4,3,4,7,3,2,4,4,4,3,3.66666666666667,3.5,2.5,3,3,15,0,1,4,88.3115625,75.1825,85.6475,83.205,87.1225,1,0,.195243355463974,0,0,.195243355463974,1,13.77,28.281,28.751,10,1,1.254,16.754,17.281,12,4,3.375,4.548,4.574,4,1,7.101,7.675,8.234,3,0,0,0,.991,0,5,1.742,16.358,16.394,5,0, , , , , ,2,4.8,6.422,6.798,4,0, , , , , ,1,1.402,14.308,14.829,5, ,0, , , , ,9,1.905,8.026,8.716,10,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,3,3,1,4,5,4,4,5,6,6,2,4.66666666666667,5,4,3.5,1,16,0,1,4,68.2532142875,50.54,62.41125,52.9925,74.715,3,1,.114756127432055,.313191093698006,0,1.42794722113006,1,7.922,8.291,10.282,3,3,4.1,4.784,6.239,3,6,2.251,4.713,4.731,4,3,2.568,3.169,3.792,3,1,0,0,2.551,0,5,6.666,7.133,7.92,3,0, , , , , ,3,7.629,8.054,8.708,3,0, , , , , ,4,1.271,2.461,2.508,4,0, , , , , ,7,.721,8.503,8.529,9, ,5,2.294,108.261,110.08,21,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,4,2,2,4,6,5,3,4,5,6,6,5.66666666666667,5,4,4,7,17,1,0,4,86.719166665,83.0325,87.8075,72.88,78.7075,3,1,.268605868020945,0,0,1.26860586802095,1,9.704,9.704,12.729,1,5,16.893,28.951,30.434,2,6,4.801,4.801,6.668,1,6,4.665,4.665,6.61,1,1,0,0,.585,0,4,7.889,15.435,16.572,3, ,0, , , , ,4,23.147,23.147,24.78,1,0, , , , , ,5,18.371,19.224,19.475,3,0, , , , , ,8,10.26,17.875,20.508,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,1,2,2,5,3,4,4,5,3,3,3,3,5,4,1,7,17,0,0,1,90.994285715,95.05,84.68,86.94,91.22,4,0,.174567572603569,.0940369577982229,0,.268604530401792,1,5.318,5.318,9.239,1,3,11.229,11.229,15.403,1,6,2.523,5.162,7.517,2,6,1.228,10.48,13.523,3,0,0,0,4.168,0,4,10.578,17.544,20.021,3, ,0, , , , ,3,5.787,5.787,8.059,1,0, , , , , ,3,2.466,2.466,4.477,1,0, , , , , ,6,3.272,8.811,10.203,3,1,5,2.555,7.913,9.924,3,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,4,2,3,4,3,4,5,5,2,2,2,2,4.5,4.5,4,7,15,1,0,4,97.664285715,99.75,97.435,97.52875,95.98,4,0,.307936917630222,.252255585417347,1,1.56019250304757,1,3.312,3.938,7.252,3,3,6.653,6.653,9.31,1,6,6.454,6.454,9.635,1,6,5.257,5.257,8.065,1,0,0,0,3.482,0,4,6.849,6.849,11.557,1, ,0, , , , ,1,33.717,33.717,38.078,1,0, , , , , ,5,23.283,23.283,25.615,1,0, , , , , ,8,5.857,11.281,13.223,2,1,2,21.421,23.915,25.672,4,1,4,8.164,10.44,11.532,2,1,8,12.254,15.408,15.411,3,1,3,14.546,17.594,18.797,3,1,5,1.57,4.123,5.669,3,1,8,2.953,5.559,6.866,2,1,3,5.545,5.545,7.22
5,3,4,2,1,5,1,4,5,3,5,1,3,4,2.5,4,1,16,0,0,1,70.075, , , , ,3,1,.315616369508212,.165681053921156,0,1.48129742342937,1,16.066,17.566,18.128,3,5,35.889,36.645,37.325,3,6,2.519,3.6,4.421,3,6,5.397,6.563,7.261,3,1,0,0,1.843,0,4,10.895,24.54,24.563,6, ,0, , , , ,3,19.567,21.074,21.095,4,0, , , , , ,1,30.267,31.904,32.587,3, ,0, , , , ,8,1.029,13.542,14.267,8,1,6,24.717,30.781,30.806,9,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,4,2,2,5,4,3,3,5,6,5,6,5.66666666666667,5,3,3.5,7,16,0,0,1,77.8657142833333,95.6266666666667,80.9683333333333,76.9733333333333,63.79,3,1,.417611162138662,.440330380834701,1,2.85794154297336,1,15.812,37.814,64.292,7,3,10.13,16.782,22.725,8,6,35.823,35.823,37.746,1,4,12.807,12.807,16.167,1,1,0,0,1.734,0,4,16.51,43.655,44.213,3, ,0, , , , ,3,29.188,29.188,31.679,1,0, , , , , ,8,45.864,45.864,47.674,1,0, , , , , ,8,37.102,54.588,56.36,4,1,6,5.907,40.981,42.406,5,1,3,17.906,21.589,22.61,2,1,6,67.299,71.09,73.083,2,1,5,77.149,78.505,79.495,2,1,5,4.925,6.342,7.748,2,1,8,33.666,36.197,38.536,2,1,3,9.533,15.867,22.756
2,3,3,3,3,7,2,3,4,6,6,6,6,4,2.5,2.5,6,17,1,1,2,80.8159375,66.05,83.2425,72.725,68.62,2,0,.127305284762197,.181552916115293,.333333333333333,.642191534210823,1,6.321,6.321,9.524,1,3,7.647,7.647,9.603,1,1,3.259,7.374,8.517,2,3,4.242,4.242,5.876,1,0,0,0,1.351,0,4,4.441,4.441,9.18,1, ,0, , , , ,7,2.203,6.684,8.147,2,0, , , , , ,4,2.456,2.456,4.331,1,0, , , , , ,8,2.411,9.432,10.361,3,1,3,3.814,13.391,14.266,4,1,8,2.429,5.525,7.025,2,1,5,1.673,10.083,11.259,4,1,5,1.389,3.612,4.441,3,1,5,1.33,5.268,6.149,4,1,5,2.6,6.192,6.694,4,1,6,1.339,3.682,4.116
3,3,3,3,3,1,3,3,4,4,3,4,3.66666666666667,4,3,3,4,16,0,1,4,61.8579910725,53.6275,67.48125,59.46, ,3,0,.0902794874756637,.08584360504208,0,.176123092517744,1,6.146,7.233,8.821,2,3,26.516,27.108,29.273,2,6,3.08,5.606,7.285,3,3,2.166,2.663,3.491,2,0,0,0,.773,0,1,.244,.847,1.145,3,0, , , , , ,3,4.156,4.83,5.263,3,0, , , , , ,4,7.355,7.877,8.258,3,0, , , , , ,1,.206,2.606,2.619,7, , ,.615,2.033,2.042,4, , ,.567,2.023,2.028,3, , ,.575,1.973,1.988,4, , ,.645,2.199,2.212,3, , ,.601,2.044,2.052,3, , ,.228,1.687,1.697,3, , ,.284,1.632,1.642
